,price
15678,1058000
14912,1617000
21907,7220000
896,859000
12116,1871000
19759,1268000
6418,787000
14049,2006000
17934,1329788
12457,1256000
707,858000
7891,3852724
7152,2342000
13572,1776060
7747,1692049
15356,2055000
8483,698000
10819,1571000
16897,3066523
205,2073800
9093,1154000
21090,3262000
20072,1648350
18149,2421000
16989,1271974
1791,3232000
19068,1500000
2677,4567890
3538,1754000
19569,1780000
18337,1923000
12167,2408000
10277,2658000
14197,3450000
5701,1120000
8617,729000
19689,637600
1005,1261000
16366,2250000
8025,1739000
19987,1022400
14938,1957000
2771,1502000
22429,1132000
19772,810400
16228,1420000
6916,1974000
13847,2185000
11617,1424000
20999,1531000
22819,1100000
16638,1171424
4356,900000
6657,1343000
23327,3920000
12798,3324000
11813,877000
12518,1692000
21108,3070000
18379,2432000
12221,2085000
19316,3658888
11047,2119000
16939,1307394
2101,1158000
13427,2039888
4197,2050000
9367,750000
15963,2475000
20411,1600000
4045,1350000
19421,1656000
18808,1666400
5216,1550000
10598,1277000
9812,1203000
2730,1400000
16494,1280000
1664,1580000
14865,1403000
22117,3988000
9625,2467000
1476,1438600
23237,2980000
5748,1291400
20065,1242400
23376,2320000
14675,1480000
4731,1550060
4913,2849460
8443,855000
50,3232310
13655,1446390
22190,1680000
19062,1538000
6164,1343000
13740,3738240
14217,2075000
1686,1668888
11658,1144000
10747,2119000
4398,1100000
18342,2365000
724,1231000
7884,1776555
6812,1423000
4932,2554010
2805,1622000
16845,938592
10769,1298000
17805,1197000
19101,2070000
18018,1629000
19131,1750000
14734,965000
1026,1284000
8161,2030000
12079,1095000
16911,898262
7921,1700820
5254,1125000
7047,1777000
8229,1700000
17460,983000
18952,870000
15431,1580000
6067,1480000
123,1763800
1247,1750000
820,1074000
580,1529000
4828,2127300
10294,3998888
15862,1212000
5027,2588000
22888,925000
15148,1001000
20614,1308000
16711,1311671
15658,998000
16062,1635000
12540,1316000
23198,2000000
2948,1700000
19288,1376000
17431,1205595
14593,1805000
4448,1025000
10511,1789000
13480,1500000
15543,1640000
22030,655000
17286,1542000
5059,4856000
10056,1167000
1959,1550000
1223,1110000
7840,3870000
3625,1475000
14548,1850000
17817,1566000
10668,1199000
8726,1441500
2541,1950000
5382,4751880
6959,1119000
15403,2064000
12322,3404000
14880,1580000
930,2071000
14012,1430000
18517,925000
6002,1900000
11923,1369000
7125,1429000
6248,1201000
8247,2588000
19322,2183500
5023,1660000
13788,1589940
11709,1474000
13837,1548360
18105,1645000
12480,1672000
10952,2925000
13225,3240800
9398,1108000
18835,1160800
17183,1647566
17744,1661000
16971,1115487
8310,895000
1464,2075500
9682,1151000
15267,1424000
16356,1700000
12084,1646000
6672,1269000
19321,2500000
20795,1738000
8513,1133000
16617,1451015
14925,1421000
22017,645000
20573,1377000
20105,799500
8714,2179000
20649,1081000
14338,958000
11212,2622000
21018,1226000
22198,840000
4671,4132400
1837,1280000
18783,1703000
2778,1643000
9040,1450000
22343,1930000
49,4609400
13104,1495000
22921,765000
19408,1432000
14951,1768000
20996,2962000
11264,3120000
18713,1093300
10090,1391000
10933,1226000
15673,1066000
20579,1676000
12526,3314000
21205,1035400
20723,2578000
4680,4162000
14707,980000
14655,2600000
7683,3241260
11896,1709000
15841,850000
8805,737000
17031,1300526
3698,1170000
22347,1050000
3451,1353000
14592,2072000
6346,1315000
22088,1238000
1557,1400000
14145,950000
22505,1755000
14228,2700000
21517,993000
10733,2245000
15024,1388000
11506,3175000
6664,1311000
14445,2515000
18459,1780000
18125,2421000
6306,1120000
5948,1694900
16197,6900000
14173,3150000
18429,1850000
8583,1344000
15575,1850000
2157,1770000
12715,1208000
